cat_level1,event_type,total,avg_price
electronics,view,175560,414.52
appliances,view,52849,224.94
computers,view,27573,530.12
furniture,view,22743,284.1
apparel,view,18242,80.23
auto,view,8031,150.79
construction,view,7730,168.71
kids,view,6370,154.09
electronics,cart,6182,400.59
electronics,purchase,5380,410.01
accessories,view,2428,60.79
sport,view,1796,417.9
appliances,purchase,861,186.52
appliances,cart,375,166.44
computers,purchase,311,383.3
furniture,purchase,166,214.0
country_yard,view,140,269.78
medicine,view,138,43.89
computers,cart,122,326.25
stationery,view,93,21.74
auto,purchase,92,122.56
kids,purchase,83,218.46
construction,purchase,81,126.46
apparel,purchase,78,85.94
construction,cart,71,94.58
auto,cart,67,140.35
kids,cart,19,149.65
accessories,purchase,18,45.29
furniture,cart,10,118.36
sport,purchase,9,344.62
medicine,cart,3,40.38
apparel,cart,2,71.82
stationery,purchase,2,9.71
country_yard,purchase,1,90.09
medicine,purchase,1,40.38
sport,cart,1,411.59
